"Data Source","世界发展指标",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"中国","CHN","知识产权使用费，接收（国际收支平衡，现价美元）","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55000000","63000000","75000000","80348000","110000000","132822320.4866","106978898.2646","236359258.2114","157401785.777","204503785.234954","342634074.968636","570536223.222954","429452520","830483814","743301698","1044102041","886670295","676381923.65","1084600061.07","1161195654.71","4803034260.13","5561288668.09","6604705952.4","8582874881.79","11755764584.29","13306961003.81","10912589834.43","10125387624.3",
"中国","CHN","货物和服务出口（BoP，现价美元）","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","23637000000","23186000000","26716000000","28163000000","29583000000","39171000000","45912000000","47823000000","57374000000","65898000000","78817000000","86852000000","119181000000","147239990000","171678000000","140533000000","141364000000","149884000000","190039384000","208572000000","247626456545.448","445976206260.613","604774713079.717","773339005396.985","991731387760.491","1258056795940.68","1497868782939.58","1262664161019.71","1656411658782.57","2008852448487.46","2175092012376.37","2355594737798.1","2462902030661.11","2360152452309.1","2197922469129.55","2429277356205.38","2651009602168.9","2630999236934.95","2738897986700.98","3555231478040.17","3719319844279.64","3507842881634.18","3792950717268.08",
"中国","CHN","信息和通信技术 (ICT) 服务出口（BoP，现价美元）","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","27000000","22000000","32000000","13000000","15000000","12000000","24000000","118000000","159000000","221000000","349000000","471000000","706000000","755730000","315000000","356000000","953000000","855000000","1701397000","732000000","1188274443.8685","1740585697.1592","2188203137.72017","2325415190.2004","3695581718.35135","5519303661.73875","7821725693.62919","7709972564","10476412987","13908433591","16246869227","17098439900","20172914775.51","24548939490.86","25432487660.12","26860401824.33","30023209195.34","34947506467.31","38983783526.85","50717900561.08","55893716412.98","57967257522.42","65033312106.02",
"中国","CHN","净再分配收入（国际收支平衡，现价美元）","BN.TRF.CURR.CD","","","","","","","","","","","","","","","","","","","","","","","486000000","511000000","442000000","243000000","379000000","224000000","419000000","381000000","274000000","831000000","1155000000","1172000000","335000000","1434640000","2129000000","5144000000","4279000000","4944000000","6311309000","8492000000","12984445070.0006","17448942294.0569","22898188613.2129","23865499351.8132","28067501499.7033","37102286297.0852","43155952494.5472","31658747085.1681","40685856980.804","24510589588.4849","3433702055.13095","-8733482704.46467","1446116617.4551","-12649328440.8473","-9520262264.0852","-11856259185.7361","-2409685381.64346","10250035688.0843","8455463682.75","15867590353.25","20135313845.2","11497461300.07","14990125928.27",
"中国","CHN","净错误与遗漏（国际收支平衡，现价美元）","BN.KAC.EOMS.CD","","","","","","","","","","","","","","","","","","","","","","","279000000","-366000000","-932000000","93000000","-185000000","-1449000000","-1095000000","-20000000","-3125000000","-6803000000","-8273000000","-10098000000","-9026000000","-17810700000","-15558000000","-22276000000","-18771000000","-17814000000","-11927918000","-4908000000","7743875557.37776","8223722027.8338","12966858292.3681","22921355459.9969","3628056084.26014","13289990161.4663","18844373414.0768","-41382828155.9967","-52935988449.153","-13765747720.2481","-87074363333.9949","-62924787168.4688","-66872672338.2284","-201815500279.275","-218586969798.61","-206605735263.437","-177357615754.534","-129180943532.083","-158762868777.63","-134465644952.935","-89306090458.12","-18934806720.3999","10099379559.3",
"中国","CHN","Net financial account (BoP, current US$)","BN.FIN.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","5953000000","3874000000","1098000000","-11324000000","-7219000000","-1149000000","-4897000000","-4337000000","8872000000","6469000000","-1872000000","-21707000000","-2118000000","-16192310000","-8315000000","14687000000","12701000000","3301000000","8590464000","12493000000","43165873537.0249","51227222380.0099","81838473672.5211","159401641680.103","239491211814.405","369571742338.944","442464337234.813","205813040161.181","189504852699.049","127777301831.891","132589661109.796","88331174649.8886","169141157551.48","91522910322.5514","-27594341283.8161","-18021105215.7158","-153795314236.655","-26598365002.5655","89997010161.77","218513801413.854","353757687667.6","244150657759.71","433909503554.49",
"中国","CHN","再分配收入，其它行业，支付（国际收支平衡，现价美元）","BM.TRF.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","13000000","10000000","12000000","9000000","11000000","11000000","12000000","9000000","11000000","40000000","17000000","18000000","259000000","360000000","161000000","333000000","290000000","331000000","455685000","428000000","650786230.1243","927798513.108","1241554263.5192","","","","","","","","","","","","","40024026000.7961","30166507873.8634","15657363519.3556","27563105493.03","32926659858.85","24370193487.95","22326196451.63","22949387164.07",
"中国","CHN","交通服务（占国际收支统计口径的服务进口比例）","BM.GSR.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","61.6106719367589","67.8535606820461","46.2373118655933","60.3803486529319","66.7838312829525","66.0764587525151","63.1695809048016","70.383631713555","74.5634191176471","60.8590148022325","45.8448166207335","45.5217680292456","46.7574697834223","37.7678229476323","45.6586229798539","35.1686823679185","24.8603146596089","24.6021116890398","28.6641911211502","28.7021314342195","29.1084355290002","32.8243857510294","33.6766628258135","33.8852196111409","34.0833464563597","33.2557945928312","31.6635161474219","29.306574105432","32.7074580066723","32.4577976222451","30.5230907360774","28.5304343595417","22.2133394002238","19.5859451971861","18.2494100374359","19.760678615297","20.7721498290929","20.8016856069558","24.823521379316","33.2841734640493","36.6276929947384","29.7544984161855","27.4914251996762",
"中国","CHN","货物进口（BoP，现价美元）","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","16876000000","18717000000","23891000000","38231000000","34896000000","36395000000","46369000000","48840000000","42354000000","50176000000","64385000000","86313000000","95271000000","110059580000","131542000000","69431000000","70323000000","87136000000","124897211000","141031000000","163480624559.982","354608469126.515","480719715647.781","564741526453.618","681974284756.534","819890833109.47","990087588240.065","883613955794.43","1239986291933.41","1579104690854.72","1661946659669.31","1789607637369.56","1808719657195.09","1566562344086.58","1500635639562.88","1740272384900.77","2037369286973.76","1993646753421.34","1998911642462.17","2653132321663.28","2681775482099.74","2585093890552.85","2641014638228.82",
"中国","CHN","通信、计算机等（占服务进口额的百分比，BoP）","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","30.7312252964427","23.9719157472417","44.277213860693","24.445324881141","16.0808435852373","12.635814889336","13.3499861226755","13.8618925831202","12.4770220588235","21.5481679204077","24.623701505194","28.2319707544035","23.0811706239647","30.6696872118185","33.5001106929378","31.2362967678054","34.2412880458756","35.0577755629613","28.0958047529713","28.9809159338014","30.8306576280134","31.1986067119926","30.6498276914093","31.4382664776987","32.155367679088","35.231780949891","37.2160842607045","35.6737562623058","30.0529486575871","29.9904945045242","25.2173113716439","24.7796651581404","18.9398336430171","20.4512682191974","21.7215375769609","22.8329196880903","23.8944449650265","26.1739520551543","36.5131613451916","36.493950669311","33.4596906171699","30.3477041806717","27.292380538106",
"中国","CHN","畜牧业生产指数（2014-2016 = 100）","AG.PRD.LVSK.XD","","3.31","3.71","4.97","5.98","6.66","7.14","7.46","7.44","7.4","7.43","8.31","9.05","9.22","9.32","9.64","9.63","9.76","10.53","12.32","13.74","14.35","15.34","15.99","17.8","20.2","21.39","23.46","26.23","27.77","30.03","33.75","37.06","41.56","47.28","54.54","53.5","58.36","63.25","66.8","68.08","69.41","71.34","74.54","77.28","81.31","83.26","82.84","87.11","90.25","92.48","92.85","96.45","97.34","99.17","100.66","100.17","99.99","100.57","97.14","98.44","108.08","109.5","","",
"中国","CHN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","362455.80240613","","","","","","","","","","436715.38991649","","","","","","","","","","","","","","","522345.1853048","","","","","","","","","",
"中国","CHN","农业灌溉用地（占农业用地总量的百分比）","AG.LND.IRIG.AG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"中国","CHN","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.233438785176161","","","","","","","","","","0.292164228480093","","","","","","","","","","","","","","","0.3567981485348","","","","","","","","","",
