"Data Source","世界发展指标",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"中国澳门特别行政区","MAC","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9672856754284","","","","","","","","","","","","","","1.06877381361653","1.04219862221342","","0.99369335947851","0.323949068727415","0.31707278405758","0.310336855139411","0.303701206604894","","0.581758948179822","0.284854026554092","","0.546940483303958","0.805343183575294","0.528278064442","0.52002620932095","",
"中国澳门特别行政区","MAC","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.406744420528412","","0.457408487796783","","0.455789715051651","","0.480342894792557","0.400852143764496","0.338822394609451","0.357602417469025","0.491848856210709","0.511655807495117","0.511172235012054","0.259898394346237","0.23939973115921","0.234903126955032","0.209522917866707","0.203304022550583","0.267174035310745","0.276369601488113","0.291232526302338","0.282303720712662","0.247892528772354","0.266956448554993","0.262387484312057","0.249825119972229","0.225407958030701","0.200217127799988","",
"中国澳门特别行政区","MAC","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","1","1","1","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","",
"中国澳门特别行政区","MAC","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0.0966580261549642","0","","16.1914475747604","0","0","0","0","0","0","0",
"中国澳门特别行政区","MAC","出口价值指数（2015年 = 100）","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","45.6203762941","51.075035294","53.7499502685","56.8364953923","67.9924757031","67.4623107564","77.8769827021","104.3915825228","112.0658267128","122.3471592344","126.6441858585","125.757162439","132.9898105783","133.7837951956","139.400091661","149.1384769937","149.0637957236","160.4153472999","159.8925784851","164.2987728522","189.6157201171","171.7668988763","175.949049471","192.75233312","210.0037042569","184.9","191","189.9","149.2","71.8","65","64.9","76.3","85","92.7","100","93.8","105","112.8","118.4","101.1","120.9","125.2","123.6","",
"中国澳门特别行政区","MAC","向撒哈拉以南非洲地区的发展中经济体的商品出口（占商品出口总额的百分比）","TX.VAL.MRCH.R6.ZS","","","","29.9492385786802","25.1207729468599","26.3681592039801","23.0088495575221","12.1848739495798","","15.3775958852971","17.9076848130557","21.1800237299105","10.1870949810565","9.76368826597411","5.20320408865301","3.0569074657251","0.514048653773435","0.788726953306445","0.372616236654455","0.157427540467451","0.135299637819075","0.377258558863623","1.32572891974738","0.198056346428767","0.216745666233073","0.138691908071556","0.218461032966689","0.232049984899369","0.22001902867275","0.16412304115127","0.31160402835024","0.100857169106634","0.0813418584945836","0.0336996743970903","0.0569433435118906","0.0932720046471254","0.0650424816916747","0.0576172960134806","0.158618224029168","0.0812416980401075","0.0385877209600541","0.0729029930457416","0.0117919325678407","0.0125291762514624","0.0543190226180233","0.0260379980362256","0.0237163305602599","0.136193547440762","0.122143971144129","0.0900400838942712","0.202448148843021","0.171380226924471","0.124127607291341","0.0129624544922978","0.0640962038552666","0.00494237626679546","0.00781544208941313","0.00804495258218819","0.019759622809105","0.0115719732843598","0.00881874229611078","0.000959219008723523","0.0056188089840498","0.00579575202448156","",
"中国澳门特别行政区","MAC","向欧洲和中亚地区的发展中经济体的商品出口（占商品出口总额的百分比）","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","0.00183959639255147","0.00588341426296508","0.00155868851947971","","","","","0.000458559237446559","0.000895508688113353","","0.00688038344739078","0.00027029364701812","0.00088311296755694","0.00135213851140585","0.0240902981822759","0.0149631296021421","0.0296820723400781","0.00223373792958294","0.0192768510474661","0.038098813026851","0.0310561846450592","0.0471521693118587","0.0381408499446066","0.0435602707563101","0.0291566877367551","0.0450372271237817","0.0631262637271805","0.0721136045083891","0.0138214053803112","0.0571725837979852","0.088559167344193","0.173686171089563","0.137645388483915","0.0073637839708772","0.000498144671707636","0.0466591667182808","","0.000111581688451343","","","","0.000344506636244981","","5.62679603131911E-05","0.00142816519909873","0.0019804790363738","3.41962181504581E-05","",
"中国澳门特别行政区","MAC","商品出口（现价美元）","TX.VAL.MRCH.CD.WT","11000000","14000000","17000000","21000000","22000000","21000000","24000000","25000000","28000000","37000000","42000000","49000000","72000000","100000000","110000000","133000000","188000000","219000000","258000000","389000000","613000000","686000000","722000000","763000000","913000000","906000000","1046000000","1402000000","1505000000","1643000000","1701000000","1665000000","1766000000","1787000000","1866000000","1997000000","1996000000","2148000000","2141000000","2200000000","2539000000","2300000000","2356000000","2581000000","2812000000","2476000000","2557000000","2543000000","1997000000","961000000","870000000","869000000","1021000000","1138000000","1241000000","1339000000","1257000000","1406000000","1510000000","1586000000","1353000000","1620000000","1677000000","1654000000","1678000000",
"中国澳门特别行政区","MAC","保险与金融服务（占商业服务出口的百分比）","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26777186707391","2.22139018599815","1.65490764471105","1.99136858346083","1.83742177978629","1.99231412253936","2.33912815237787","1.53452773777861","1.82045221865631","1.27978904540621","1.60079938767361","1.91768101981995","2.60376700155889","3.79225397105173","4.14016335276795","3.66641529604899","3.55116000799675","4.37324250537315","15.2490676090175","12.3620268877944","23.7106658146978","8.67619277965851","7.53445150515907",
"中国澳门特别行政区","MAC","农业原材料出口（占商品出口的百分比）","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","0.0643985551935203","0.0712034669725079","0.0830760077122372","0.063728582473439","0.0709753003494548","0.18038270665197","0.077735530922635","0.553858428032031","1.25145715461859","1.13867551593725","0.909292919143438","0.892377250695883","0.888801886265976","0.670962550703278","0.600713969927749","","0.969534441514722","0.772547869245677","0.90064706249896","1.26478295892392","2.00059379852902","2.31189805192803","2.40979599026791","2.39493910439502","1.09015148347299","0.012115715918936","0.0168237498978212","0.018448025265411","0.0270839404479963","0.0181631257208143","0.0147044705384172","0.00978519977790931","0.0148312739577519","0.0136706202492845","0.0132998677433591","0.00974883948987649","0","0","0","0","0","0.653560741658951","0.51643113056417","0.114894910685506","0.629019193171785","1.49193660847881","2.94141091663836","0.852690009671912","1.30157597832414","0.320051725692139","0.187523162403455","0.408785558205904",
